File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF250KNJ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR647HOX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HLTF-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF748PZV/, /files/ENCFF395HUI/	3044970	Gene Yeo, UCSD	ecbae59e0a9b23db2147b2d8b6185a51		https://www.encodeproject.org/files/ENCFF250KNJ/@@download/ENCFF250KNJ.bed.gz				released	s3://encode-public/2018/04/29/017f9f00-b47e-405b-a41d-a480134a3f29/ENCFF250KNJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/017f9f00-b47e-405b-a41d-a480134a3f29/ENCFF250KNJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF490MGU	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR647HOX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HLTF-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF773TEB/, /files/ENCFF395HUI/	3107006	Gene Yeo, UCSD	25dd3ed71949ccc011e8f02f90eaf145		https://www.encodeproject.org/files/ENCFF490MGU/@@download/ENCFF490MGU.bed.gz				released	s3://encode-public/2018/04/29/90e119be-773d-4f2e-86f1-63c3c099f4db/ENCFF490MGU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/90e119be-773d-4f2e-86f1-63c3c099f4db/ENCFF490MGU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF252MTE	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR647HOX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HLTF-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF293ZZT/, /files/ENCFF745DZH/	3038951	Gene Yeo, UCSD	61e173082f7107a2b0da4aa574a19979		https://www.encodeproject.org/files/ENCFF252MTE/@@download/ENCFF252MTE.bed.gz				released	s3://encode-public/2018/04/29/fb4c6e70-33cf-4e3b-8d47-aee7e543123c/ENCFF252MTE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/fb4c6e70-33cf-4e3b-8d47-aee7e543123c/ENCFF252MTE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF991OSY	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR647HOX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HLTF-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF757PDP/, /files/ENCFF745DZH/	3070497	Gene Yeo, UCSD	e8b6acf606dddc6f704e2fea9ad8653c		https://www.encodeproject.org/files/ENCFF991OSY/@@download/ENCFF991OSY.bed.gz				released	s3://encode-public/2018/04/29/443c74fc-3f61-4244-851a-0de7fbe99bdc/ENCFF991OSY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/443c74fc-3f61-4244-851a-0de7fbe99bdc/ENCFF991OSY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF410XHF	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR647HOX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HLTF-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF490MGU/, /files/ENCFF748PZV/, /files/ENCFF250KNJ/, /files/ENCFF039QTN/, /files/ENCFF773TEB/, /files/ENCFF395HUI/	73561	Gene Yeo, UCSD	3265beabde01f9ebb8761758da82828d		https://www.encodeproject.org/files/ENCFF410XHF/@@download/ENCFF410XHF.bed.gz				released	s3://encode-public/2018/06/08/db8666d2-cf59-42af-bdf2-cab1141addeb/ENCFF410XHF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/db8666d2-cf59-42af-bdf2-cab1141addeb/ENCFF410XHF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF048FDF	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR647HOX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HLTF-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF252MTE/, /files/ENCFF293ZZT/, /files/ENCFF745DZH/, /files/ENCFF269URO/, /files/ENCFF757PDP/, /files/ENCFF991OSY/	75321	Gene Yeo, UCSD	f399b9e754778f392b4efcd450bcac70		https://www.encodeproject.org/files/ENCFF048FDF/@@download/ENCFF048FDF.bed.gz				released	s3://encode-public/2018/12/03/549987b4-1dd7-427f-96c8-5ec008952e12/ENCFF048FDF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/549987b4-1dd7-427f-96c8-5ec008952e12/ENCFF048FDF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF268SII	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR735HOK	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF331WIZ/, /files/ENCFF576RGE/	1510812	Gene Yeo, UCSD	87dea5f234bfa6f4d4d955de2fd0342d		https://www.encodeproject.org/files/ENCFF268SII/@@download/ENCFF268SII.bed.gz				released	s3://encode-public/2018/04/29/8da94ddf-3fde-4615-b018-48f623759d7c/ENCFF268SII.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/8da94ddf-3fde-4615-b018-48f623759d7c/ENCFF268SII.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	antibody characterized with exemption		
ENCFF904UKX	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR735HOK	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF843MHP/, /files/ENCFF576RGE/	1458487	Gene Yeo, UCSD	c8b54869ca0132fdb00cc60a3f6c2b49		https://www.encodeproject.org/files/ENCFF904UKX/@@download/ENCFF904UKX.bed.gz				released	s3://encode-public/2018/04/29/a180e413-621f-4a4d-99dc-2dc6a27f61c1/ENCFF904UKX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/a180e413-621f-4a4d-99dc-2dc6a27f61c1/ENCFF904UKX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	antibody characterized with exemption		
ENCFF311PHS	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR735HOK	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF560ZTA/, /files/ENCFF101VSR/	1485512	Gene Yeo, UCSD	53b1f18ef2d3494aa940cd4f22f9fbdc		https://www.encodeproject.org/files/ENCFF311PHS/@@download/ENCFF311PHS.bed.gz				released	s3://encode-public/2018/04/29/dca28e48-1652-4c3a-895b-71515869ed35/ENCFF311PHS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/dca28e48-1652-4c3a-895b-71515869ed35/ENCFF311PHS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	antibody characterized with exemption		
ENCFF401TWM	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR735HOK	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										YBX3-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF148DUH/, /files/ENCFF101VSR/	1670189	Gene Yeo, UCSD	a8f498b373d3e3fd85880754c01873bb		https://www.encodeproject.org/files/ENCFF401TWM/@@download/ENCFF401TWM.bed.gz				released	s3://encode-public/2018/04/29/b1b34f0e-5cff-4150-a60f-043d0f70f0af/ENCFF401TWM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/b1b34f0e-5cff-4150-a60f-043d0f70f0af/ENCFF401TWM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	antibody characterized with exemption		
